Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,401,1,2024-10-24,DAL,,SAS,W 120-109,*,36:16,9,25,.360,4,11,.364,5,14,.357,.440,6,8,.750,1,9,10,8,1,1,4,3,28,18.8,6
2,402,2,2024-10-26,DAL,@,PHO,L 102-114,*,39:24,12,25,.480,5,13,.385,7,12,.583,.580,11,12,.917,1,9,10,4,0,1,2,4,40,30.2,-12
3,403,3,2024-10-28,DAL,,UTA,W 110-102,*,33:12,5,22,.227,1,9,.111,4,13,.308,.250,4,6,.667,0,9,9,8,2,1,2,5,15,7.8,5
4,404,4,2024-10-29,DAL,@,MIN,W 120-114,*,40:09,10,27,.370,1,8,.125,9,19,.474,.389,3,4,.750,1,7,8,8,1,0,3,2,24,14.3,3
5,405,5,2024-10-31,DAL,,HOU,L 102-108,*,37:31,12,25,.480,3,7,.429,9,18,.500,.540,2,4,.500,0,5,5,2,1,0,1,5,29,16.4,-2
6,406,6,2024-11-03,DAL,,ORL,W 108-85,*,31:43,11,22,.500,5,13,.385,6,9,.667,.614,5,7,.714,1,8,9,7,0,0,4,3,32,23.0,21
7,407,7,2024-11-04,DAL,,IND,L 127-134,*,42:21,9,24,.375,4,10,.400,5,14,.357,.458,12,15,.800,0,7,7,15,2,0,2,3,34,31.0,-3
8,408,8,2024-11-06,DAL,,CHI,W 119-99,*,32:19,8,19,.421,3,8,.375,5,11,.455,.500,8,9,.889,0,7,7,13,4,0,5,3,27,25.5,35
9,409,9,2024-11-08,DAL,,PHO,L 113-114,*,42:11,11,25,.440,5,12,.417,6,13,.462,.540,3,3,1.000,0,7,7,7,1,0,3,3,30,20.7,-4
10,410,10,2024-11-10,DAL,@,DEN,L 120-122,*,40:51,9,19,.474,2,8,.250,7,11,.636,.526,4,6,.667,1,8,9,9,1,1,5,2,24,18.8,5
11,411,11,2024-11-12,DAL,@,GSW,L 117-120,*,41:05,13,27,.481,2,10,.200,11,17,.647,.519,3,3,1.000,0,8,8,6,3,0,5,2,31,21.1,2
12,412,12,2024-11-14,DAL,@,UTA,L 113-115,*,38:04,13,25,.520,4,13,.308,9,12,.750,.600,7,7,1.000,1,6,7,9,1,0,3,0,37,31.5,-8
13,413,13,2024-11-16,DAL,,SAS,W 110-93,*,28:24,6,16,.375,3,9,.333,3,7,.429,.469,1,3,.333,2,4,6,6,2,0,4,4,16,9.6,15
